date,startingAirport,destinationAirport,avg_fare,min_fare,max_fare,offers,route
2022-04-17,ATL,BOS,406.6,406.6,406.6,1,ATL→BOS
2022-04-17,ATL,DFW,202.6,202.6,202.6,1,ATL→DFW
2022-04-17,ATL,DTW,534.395,491.59,577.2,2,ATL→DTW
2022-04-17,ATL,LAX,738.59,738.59,738.59,1,ATL→LAX
2022-04-17,BOS,DFW,261.61,261.61,261.61,1,BOS→DFW
2022-04-17,BOS,DTW,320.58,320.58,320.58,1,BOS→DTW
2022-04-17,BOS,IAD,643.11,643.11,643.11,1,BOS→IAD
2022-04-17,BOS,LAX,575.9333333333334,353.6,971.6,3,BOS→LAX
2022-04-17,BOS,ORD,348.6,348.6,348.6,1,BOS→ORD
2022-04-17,CLT,DEN,304.11,304.11,304.11,1,CLT→DEN
2022-04-17,CLT,DTW,606.11,606.11,606.11,1,CLT→DTW
2022-04-17,CLT,LAX,369.1,369.1,369.1,1,CLT→LAX
2022-04-17,CLT,LGA,397.1,397.1,397.1,1,CLT→LGA
2022-04-17,CLT,SFO,487.1,487.1,487.1,1,CLT→SFO
2022-04-17,DEN,BOS,322.6,322.6,322.6,1,DEN→BOS
2022-04-17,DEN,DFW,211.6,211.6,211.6,1,DEN→DFW
2022-04-17,DEN,IAD,728.6,728.6,728.6,1,DEN→IAD
2022-04-17,DFW,DEN,289.6,289.6,289.6,1,DFW→DEN
2022-04-17,DFW,DTW,324.6,324.6,324.6,1,DFW→DTW
2022-04-17,DFW,LAX,305.61,305.61,305.61,1,DFW→LAX
2022-04-17,DFW,LGA,183.6,183.6,183.6,1,DFW→LGA
2022-04-17,DFW,MIA,305.61,305.61,305.61,1,DFW→MIA
2022-04-17,DFW,ORD,468.61,468.61,468.61,1,DFW→ORD
2022-04-17,DTW,ATL,571.59,571.59,571.59,1,DTW→ATL
2022-04-17,DTW,BOS,157.6,157.6,157.6,1,DTW→BOS
2022-04-17,DTW,DEN,305.61,305.61,305.61,1,DTW→DEN
2022-04-17,DTW,DFW,305.61,305.61,305.61,2,DTW→DFW
2022-04-17,DTW,LAX,653.9000000000001,370.6,937.2,2,DTW→LAX
2022-04-17,DTW,MIA,386.35,364.1,408.6,2,DTW→MIA
2022-04-17,EWR,ATL,306.1,306.1,306.1,1,EWR→ATL
2022-04-17,EWR,DFW,357.6,357.6,357.6,1,EWR→DFW
2022-04-17,EWR,LAX,663.0266666666666,462.6,818.6,3,EWR→LAX
2022-04-17,EWR,OAK,828.09,828.09,828.09,1,EWR→OAK
2022-04-17,EWR,SFO,642.7,642.7,642.7,1,EWR→SFO
2022-04-17,IAD,ATL,202.6,202.6,202.6,1,IAD→ATL
2022-04-17,IAD,MIA,239.6,239.6,239.6,1,IAD→MIA
2022-04-17,IAD,PHL,698.6,698.6,698.6,1,IAD→PHL
2022-04-17,JFK,IAD,685.11,685.11,685.11,1,JFK→IAD
2022-04-17,JFK,MIA,1195.1,377.6,2012.6,2,JFK→MIA
2022-04-17,JFK,SFO,498.6,498.6,498.6,1,JFK→SFO
2022-04-17,LAX,ATL,370.6,370.6,370.6,1,LAX→ATL
2022-04-17,LAX,BOS,415.1,415.1,415.1,1,LAX→BOS
2022-04-17,LAX,DEN,425.40000000000003,253.6,597.2,2,LAX→DEN
