route,default_airline,default_cabin,med_duration,med_stops,med_distance,med_seats,pct_basic,pct_refund,pct_nonstop
ATL→BOS,DL,coach,300.0,1.0,947.0,7.0,0.0887883008356546,0.0,0.2541782729805014
ATL→CLT,AA,coach,84.0,0.0,228.0,7.0,0.013257575757575758,0.0,0.538510101010101
ATL→DEN,AA,coach,375.0,1.0,1375.0,6.0,0.007865757734661772,0.0,0.33875196643943367
ATL→DFW,DL,coach,143.0,0.0,725.0,7.0,0.04678362573099415,0.0,0.6220095693779905
ATL→DTW,DL,coach,308.0,1.0,840.0,6.0,0.05496828752642706,0.0,0.30782241014799155
ATL→EWR,UA,coach,228.0,1.0,762.0,6.0,0.08461157842652152,0.0,0.4938149430974765
ATL→IAD,UA,coach,113.0,0.0,541.0,7.0,0.07264472190692395,0.0,0.565266742338252
ATL→JFK,DL,coach,321.0,1.0,762.0,7.0,0.138763197586727,0.0,0.4122674710910005
ATL→LAX,DL,coach,454.0,1.0,1963.0,5.0,0.0226943505552873,0.0,0.24625784645098986
ATL→LGA,DL,coach,249.0,1.0,762.0,7.0,0.12799452429842573,0.0,0.43702943189596166
ATL→MIA,UA,coach,237.0,1.0,596.0,7.0,0.09660010793308149,0.0,0.496492174851592
ATL→OAK,DL,coach,728.0,2.0,2393.0,3.0,0.017269293038316244,0.0,0.0
ATL→ORD,AA,coach,280.0,1.0,600.0,6.0,0.024440977639105563,0.0,0.4669786791471659
ATL→PHL,AA,coach,265.0,1.0,677.0,5.0,0.04013377926421405,0.0,0.44537346711259757
ATL→SFO,DL,coach,555.0,1.0,2308.0,7.0,0.021631365479945923,0.0,0.18206399278954483
BOS→ATL,DL,coach,318.5,1.0,947.0,7.0,0.07503113325031133,0.0,0.23412204234122042
BOS→CLT,AA,coach,289.0,1.0,730.0,7.0,0.1412310286677909,0.0,0.3022765598650928
BOS→DEN,UA,coach,460.0,1.0,1806.0,7.0,0.03172782874617737,0.0,0.17087155963302753
BOS→DFW,AA,coach,413.0,1.0,1565.0,7.0,0.1305767138193689,0.0,0.19912948857453755
BOS→DTW,UA,coach,318.0,1.0,670.0,5.0,0.05386796273795059,0.0,0.20089104900769542
BOS→EWR,UA,coach,92.0,0.0,185.0,7.0,0.3665338645418327,0.0,0.6772908366533864
BOS→IAD,AA,coach,316.0,1.0,406.0,7.0,0.1789748045178106,0.0,0.17028670721112077
BOS→JFK,AA,coach,81.0,0.0,185.0,7.0,0.14736842105263157,0.0,0.8622009569377991
BOS→LAX,AA,coach,522.0,1.0,2643.0,7.0,0.025528811086797956,0.0,0.27571115973741794
BOS→LGA,AA,coach,86.0,0.0,185.0,7.0,0.223742730071844,0.0,0.6886760177899418
BOS→MIA,AA,coach,347.0,1.0,1289.0,7.0,0.10034129692832765,0.0,0.34232081911262796
BOS→OAK,UA,coach,785.0,2.0,2981.0,6.0,0.014825796886582653,0.0,0.0
BOS→ORD,AA,coach,176.0,0.0,862.0,7.0,0.07515505290040131,0.0,0.6519518423932871
BOS→PHL,AA,coach,103.0,0.0,280.0,7.0,0.3219877467665078,0.0,0.5704560925799864
BOS→SFO,UA,coach,560.0,1.0,2751.0,7.0,0.04097350585335798,0.0,0.28989525569932223
CLT→ATL,AA,coach,89.0,0.0,228.0,7.0,0.016314199395770394,0.0,0.5003021148036254
CLT→BOS,AA,coach,265.0,1.0,730.0,7.0,0.11610671936758893,0.0,0.3641304347826087
CLT→DEN,DL,coach,378.0,1.0,1495.0,7.0,0.019332161687170474,0.0,0.2583479789103691
CLT→DFW,AA,coach,358.0,1.0,960.0,5.0,0.035998615437867774,0.0,0.1872620283835237
CLT→DTW,DL,coach,326.0,1.0,832.0,7.0,0.02037617554858934,0.0,0.258098223615465
CLT→EWR,AA,coach,132.0,0.0,545.0,7.0,0.05654205607476635,0.0,0.5308411214953271
CLT→IAD,DL,coach,95.0,0.0,327.0,7.0,0.04550625711035267,0.0,0.540386803185438
CLT→JFK,AA,coach,245.0,1.0,548.0,7.0,0.10482691370063384,0.0,0.4378352023403218
CLT→LAX,UA,coach,510.0,1.0,2275.0,6.0,0.011927877947295423,0.0,0.11983356449375866
CLT→LGA,AA,coach,216.0,1.0,548.0,7.0,0.09152542372881356,0.0,0.43389830508474575
CLT→MIA,AA,coach,328.0,1.0,824.0,7.0,0.056881463802704854,0.0,0.1726332537788385
CLT→OAK,UA,coach,747.0,2.0,2675.0,4.0,0.00243605359317905,0.0,0.0
CLT→ORD,AA,coach,332.0,1.0,921.0,7.0,0.03504161191414805,0.0,0.2768287341217696
CLT→PHL,AA,coach,301.0,1.0,642.0,7.0,0.009137055837563452,0.0,0.2705583756345178
CLT→SFO,DL,coach,586.0,1.0,2516.0,7.0,0.008058017727639,0.0,0.09105560032232071
DEN→ATL,AA,coach,339.0,1.0,1375.0,6.0,0.018013381369016986,0.0,0.3566649511065363
DEN→BOS,AA,coach,428.0,1.0,1806.0,7.0,0.03520261972984036,0.0,0.19361440851412198
DEN→CLT,AA,coach,379.0,1.0,1580.0,7.0,0.034502587694077054,0.0,0.26336975273145485
DEN→DFW,AA,coach,125.0,0.0,650.0,7.0,0.025916561314791402,0.0,0.5815423514538559
DEN→DTW,AA,coach,402.0,1.0,1645.0,6.0,0.026331538001196888,0.0,0.21125074805505686
DEN→EWR,UA,coach,392.0,1.0,1694.0,7.0,0.014560582423296931,0.0,0.2594903796151846
DEN→IAD,UA,coach,384.0,1.0,1673.0,6.0,0.02501737317581654,0.0,0.27797081306462823
DEN→JFK,UA,coach,540.0,1.0,1899.0,7.0,0.020482809070958303,0.0,0.11741038771031456
DEN→LAX,UA,coach,266.0,1.0,937.0,7.0,0.042466765140324964,0.0,0.4021418020679468
DEN→LGA,AA,coach,394.0,1.0,1694.0,7.0,0.034532374100719423,0.0,0.31894484412470026
DEN→MIA,AA,coach,472.0,1.0,1834.0,7.0,0.0157600406710727,0.0,0.13014743263853584
DEN→OAK,UA,coach,432.0,1.0,1186.0,6.0,0.08171206225680934,0.0,0.02801556420233463
DEN→ORD,UA,coach,270.0,1.0,1034.0,7.0,0.011356843992827256,0.0,0.44949193066347876
DEN→PHL,AA,coach,426.0,1.0,1671.0,5.0,0.011035207566999475,0.0,0.14976353126642145
DEN→SFO,UA,coach,285.0,1.0,979.0,7.0,0.07438423645320197,0.0,0.33399014778325126
DFW→ATL,DL,coach,132.0,0.0,725.0,7.0,0.05685279187817259,0.0,0.601015228426396
