route,days,avg_fare,fare_std,min_fare,max_fare,total_offers,volatility
LGA→LAX,126,451.1833507518118,93.60376927439606,112.6,3024.09,4541,0.2074628177622757
LAX→BOS,127,508.8860785950713,92.28281903104069,157.6,2764.1,4431,0.1813427855716045
LAX→LGA,126,477.50220754585,80.56052490236567,130.58,2227.1,4384,0.16871236117715793
ATL→LAX,128,440.23792450263517,63.20974158982735,113.59,1185.6,4142,0.1435808640549072
BOS→LAX,128,468.42535754969674,98.27421641717106,127.96,3964.6,4113,0.2097969608887897
LAX→ATL,126,469.8381217929924,59.654423496616715,75.99,1283.61,4020,0.12696803586087052
LAX→JFK,124,491.16329765753295,91.2981352335374,113.6,4752.6,4018,0.18588142817054637
JFK→LAX,125,477.9336240208791,118.46280639264178,130.6,1654.6,3826,0.2478645578354759
LAX→EWR,127,467.93885395607793,93.4009154468562,144.58,3384.61,3766,0.1996006842715033
DFW→LAX,128,312.1266017333198,52.13501175382993,63.99,1502.6,3717,0.1670316194272155
LAX→DTW,128,498.17599587128456,55.36985498231245,108.97,2269.6,3626,0.11114516845692932
LAX→ORD,124,425.8694964406522,65.14168648648132,90.16,2279.6,3606,0.15296161624846322
CLT→LAX,127,487.4000008047155,84.82329101835079,138.09,3218.7,3605,0.1740321930207312
LAX→DFW,125,310.37683264863415,54.07234554603592,63.99,1567.2,3593,0.17421514706688554
DTW→LAX,125,456.2860392728808,62.68767981490454,120.78,1378.61,3545,0.13738680217961768
LAX→CLT,126,513.6292770862088,111.50168848286265,133.99,3214.6,3542,0.21708592842566474
ORD→LAX,125,397.98777081148535,55.87548142444062,98.59,2807.6,3448,0.14039497070603993
SFO→LGA,125,599.2695053805196,109.17089212070614,152.6,3034.09,3448,0.18217328120406467
SFO→BOS,124,554.2726570407284,133.36351305368322,178.6,3155.2,3441,0.24060994414863146
LGA→SFO,126,580.6672085828333,111.63462130720117,107.6,3324.1,3396,0.19225232569900885
LAX→PHL,124,525.6048359346379,94.45147918672538,114.38,2626.6,3386,0.17970055206735386
EWR→LAX,126,425.00605335071367,81.32803942325356,112.6,3304.61,3339,0.19135736722352495
IAD→LGA,125,413.9490069802441,84.84119313891546,98.6,2057.61,3315,0.20495566291566086
LGA→ORD,125,189.67787169719756,47.07153634665128,79.98,1447.6,3313,0.24816567122703934
LAX→MIA,124,454.26339227002865,72.95840927671193,83.97,3016.6,3309,0.16060816371780873
ORD→LGA,124,190.59539457684124,53.864526249109765,65.88,828.6,3290,0.28261189819774746
JFK→ORD,124,437.299620091989,47.6578160215377,83.6,991.6,3247,0.1089820659151557
BOS→SFO,122,532.742653186351,129.1284474527321,172.2,3113.6,3246,0.24238428569668805
BOS→ATL,124,303.428511446482,52.998629151576054,55.78,1277.2,3212,0.17466594981112651
PHL→LAX,128,477.2285109041631,79.83022589225992,99.99,2233.7,3131,0.16727882779051187
LGA→IAD,126,413.181420485409,109.53020371929053,98.6,2040.1,3100,0.26508985711558264
PHL→LGA,124,354.9479411356192,69.90515013369816,101.6,975.6,3099,0.19694479677792712
DFW→LGA,124,259.6603500374786,64.51593629944591,42.79,2105.6,3069,0.2484627949170286
ORD→JFK,125,426.9537848503905,56.61571837904489,83.6,1091.59,3018,0.13260385640774608
LGA→CLT,124,217.310872629965,48.195662020629,75.68,1587.1,2993,0.221782101545817
LGA→PHL,126,367.464111236919,80.00443036170506,59.6,1277.1,2959,0.21772039204700175
CLT→LGA,125,211.79483604134086,50.386684050204146,101.1,642.1,2950,0.23790326993793665
LGA→DFW,127,237.74094310750226,61.64553220160842,42.79,825.6,2936,0.2592970794001326
BOS→MIA,125,232.56788409770886,69.87869771453062,30.69,968.6,2930,0.3004658101682365
BOS→LGA,124,159.22138490944081,77.16592558346747,43.6,650.6,2923,0.48464548670617685
ATL→LGA,125,230.02945714561164,77.1828147114636,43.98,2057.61,2922,0.3355344818407578
MIA→DFW,124,297.0784458241672,71.96594281089101,61.97,2371.6,2897,0.24224558806762347
CLT→DFW,123,329.75365067831564,71.1572548929166,128.28,1154.05,2889,0.21578913454496548
ATL→BOS,125,323.2057357502333,83.22632245967048,66.97,1124.6,2872,0.2575026159931334
DFW→MIA,128,288.0389131011936,63.61543421382197,42.79,1064.6,2788,0.22085708326316536
MIA→LAX,125,413.9857562399104,86.68784352106502,127.6,3016.6,2785,0.2093981307676398
LGA→ATL,126,213.46728808822076,47.84447960678424,43.98,1061.6,2778,0.2241302638698033
MIA→BOS,124,272.8421767902601,130.59898588467388,30.69,1154.61,2763,0.4786612811151563
BOS→DFW,123,305.0264091106522,67.13616655008133,95.78,777.61,2757,0.2200995210409038
LAX→DEN,125,277.39713534353393,52.920675768977,33.97,1266.51,2749,0.19077585535783928
BOS→ORD,124,238.82789052811535,89.04007650870123,63.6,1961.6,2741,0.37282109854007706
DEN→JFK,125,513.4112901972976,66.830608671799,103.6,1033.6,2734,0.13016972931412712
DEN→LAX,126,251.9433629902058,55.60761574639735,42.79,1693.6,2708,0.22071474749886177
ORD→BOS,127,241.19212081700212,81.59292573610561,68.6,941.61,2665,0.3382901790478139
LAX→IAD,125,526.6937928300716,78.55285190379234,197.6,2427.6,2658,0.14914330294592254
SFO→CLT,126,606.8423038412958,110.95122971237167,114.38,3214.6,2628,0.1828337098617768
SFO→MIA,125,557.2981764945864,94.88746571647086,117.6,3004.61,2618,0.17026337016445017
BOS→DEN,124,405.1983794390939,89.10536217955331,122.6,1762.11,2616,0.21990552455540335
LGA→MIA,125,205.3467764647457,54.578637826196555,30.69,2453.6,2591,0.2657876532849627
LGA→BOS,125,155.10168567670823,89.57147019174504,43.6,1260.6,2590,0.5775015906561232
EWR→ORD,126,241.9205985732511,57.600864192896175,66.06,1498.61,2540,0.23809822120399232
SFO→EWR,127,530.8579152340935,95.28072587000777,98.6,3498.6,2516,0.17948442160458628
CLT→MIA,126,270.78391904328726,55.49585513862809,43.08,1017.1,2514,0.20494516563133341
PHL→DFW,122,358.6965279627113,58.36955003986169,71.68,1366.15,2508,0.1627268331014611
MIA→LGA,125,237.19082215634248,100.34893835734732,30.69,1051.6,2495,0.423072602240921
CLT→SFO,125,602.5915656649172,117.4410830234761,128.49,2955.7,2482,0.1948933402243826
DFW→CLT,124,326.62808322517526,68.65508971181417,89.58,2210.6,2479,0.2101934684669591
BOS→DTW,122,259.2250517340885,57.41226066074457,68.6,1557.1,2469,0.22147651346459266
IAD→LAX,124,492.78692409526553,100.13754410891015,168.61,2296.6,2455,0.20320657714844634
ORD→MIA,123,255.195768776106,64.94864000610093,30.69,2570.6,2446,0.254505160166206
SFO→DTW,122,611.2487993385024,106.65088692368114,103.99,2690.2,2446,0.1744803213341269
DEN→BOS,126,417.6748794249216,87.21466349416288,122.6,1687.11,2443,0.20880993277413515
ORD→DFW,128,306.2977580495662,68.23470498945012,42.79,1152.55,2426,0.22277245979191312
DFW→BOS,124,328.73118753070895,95.95595544943089,98.6,1911.6,2422,0.2918979369442001
SFO→ATL,125,541.9662241389983,87.98604399921042,133.99,1554.59,2381,0.1623459914665173
DTW→ATL,124,307.91290821364885,68.35838869324984,42.79,981.6,2380,0.22200559596487782
LAX→SFO,125,224.06750175821585,59.01051274230014,23.97,2023.6,2375,0.26336042611827093
BOS→CLT,124,223.90268030601263,73.86217611715308,68.6,826.6,2372,0.3298851805445297
ATL→DTW,128,300.06277758290975,78.4341025865431,42.79,946.61,2365,0.26139231003042734
JFK→DEN,124,521.1771079461506,67.83937932694045,103.6,1061.6,2364,0.13016569279928886
DFW→PHL,125,365.49325143999374,93.46325134935499,65.88,1871.6,2362,0.2557181315417521
DTW→SFO,122,576.1021616309416,86.9975135420501,247.6,2690.2,2351,0.15101056607001903
MIA→SFO,124,561.4724477398298,150.68876209297832,163.98,1869.6,2319,0.26838140090322504
EWR→SFO,125,485.04576957699715,90.31944054495952,107.6,2053.61,2317,0.18620807810307483
MIA→CLT,122,305.1845123177655,71.21602858717566,66.68,2176.6,2308,0.23335400622500727
DFW→ORD,123,318.16963053098107,67.14513392249322,62.59,1248.6,2307,0.21103564727544008
SFO→ORD,124,517.3250150401886,97.1935723805744,190.6,2628.6,2300,0.18787719432632474
SFO→LAX,124,218.53300987345108,50.71525465743338,23.97,860.6,2294,0.23207136847106877
CLT→ORD,121,265.29079330083925,59.38535923188361,114.1,1255.04,2283,0.22385005711276504
EWR→CLT,125,243.9031695193326,46.107765391143005,55.68,1489.6,2282,0.18904127191954487
PHL→MIA,125,264.6244360312651,74.50183466057884,30.69,2586.6,2277,0.2815380007150078
MIA→ORD,124,280.9917257541396,74.97873161490088,61.97,1138.6,2266,0.2668360835667642
ORD→EWR,125,247.05621565212175,70.50387204520722,83.6,1498.61,2241,0.28537582776093057
DFW→EWR,122,329.71814186742665,72.29995117142654,68.6,2044.6,2240,0.21927804991845723
JFK→SFO,125,501.39142802473543,138.2039414054998,118.6,2784.6,2238,0.2756408141039892
ATL→SFO,124,545.2845769290758,82.92692352903472,81.59,1540.7,2219,0.15208008265346717
SFO→DEN,125,370.4818705934471,96.85659853133255,58.99,2567.2,2200,0.26143411113797616
PHL→SFO,126,588.7026964031967,101.5247165639236,189.99,2568.11,2194,0.1724549882040804
SFO→JFK,121,517.7225560228925,131.42588225678733,133.6,4752.6,2192,0.2538538851125041
SFO→PHL,123,595.8014667425235,97.87731071402966,154.39,1583.61,2183,0.16427839838858183
DTW→LGA,123,211.15208515954583,92.9728928408016,48.79,1687.6,2180,0.4403124542698766
ORD→CLT,122,258.5570518058228,63.660560854840114,115.6,1148.6,2178,0.24621475380470148
MIA→PHL,123,311.03680462668,110.12407968968002,30.69,877.19,2161,0.35405481940266126
CLT→EWR,125,250.37655038350212,55.8916108209578,101.1,1197.11,2140,0.22323021359367937
DTW→BOS,123,260.88585962025275,67.53108254335986,68.6,1250.61,2139,0.2588529813063022
OAK→DFW,124,440.18007516992543,78.6925013283109,73.06,1542.7,2133,0.17877342880168473
EWR→DFW,124,311.15836265204365,79.12408046594386,71.68,1665.6,2125,0.2542887801297028
LGA→OAK,121,783.2286081021691,127.89050602123167,282.7,2834.1,2101,0.16328630580938747
ORD→SFO,120,476.2799583950836,93.58006174850989,168.61,2384.0,2095,0.19648120837132388
BOS→JFK,125,189.14226212140696,48.139001351032185,43.6,717.9,2090,0.25451213711366444
DEN→LGA,124,321.56662913541896,82.9655179047933,71.06,1394.6,2085,0.2580041285000834
DFW→OAK,125,476.52561054571964,82.57292260948188,86.75,1492.41,2053,0.1732811852754754
CLT→JFK,125,275.2861925870143,76.0390222606998,101.1,1692.1,2051,0.2762180752551361
PHL→CLT,125,278.0983696029138,61.7111894330254,50.99,1270.6,2047,0.22190417556615125
JFK→BOS,122,212.89542797868546,76.18275900180166,43.6,1535.6,2043,0.35784121681292697
SFO→IAD,121,572.3176913366012,100.16993655038162,201.7,2176.1,2042,0.17502505700364235
DEN→SFO,124,330.6080067818021,79.09939438859168,78.98,2561.6,2030,0.2392543216317095
CLT→BOS,122,231.23448296506152,95.24948805547956,67.1,1673.1,2024,0.4119173180146809
ATL→EWR,127,246.79689372237723,87.37169642455063,30.69,1288.6,2021,0.35402267470527965
PHL→EWR,124,430.5130864648374,175.03589829258033,96.6,2153.59,2017,0.4065750932913315
ORD→ATL,124,248.60131487535142,59.29374873909537,42.79,1004.6,2014,0.23850939311735028
IAD→SFO,126,573.6992412507161,102.10202535571956,208.61,2516.59,2008,0.1779713445901165
LGA→DTW,125,212.52223488418682,47.94488641182624,48.79,1687.6,2004,0.22559938934367796
ATL→JFK,125,316.67774537576395,87.64657628945092,68.6,1075.11,1989,0.2767689790940349
JFK→MIA,124,221.64179707810058,104.39048162291594,48.6,2012.6,1975,0.4709873453432231
DFW→ATL,126,271.0695574565581,62.09387053908598,42.79,1681.59,1970,0.22906987830618794
CLT→PHL,124,313.08472620247767,108.93477149787061,52.49,2099.11,1970,0.3479402295320548
DEN→MIA,123,397.7165260506892,82.13369287017048,42.79,2032.59,1967,0.2065131506748163
EWR→DEN,123,377.4774246298539,103.9945353152458,101.68,1216.1,1953,0.27549868821220386
JFK→DFW,123,404.3465478796561,120.32723009907654,68.6,1046.59,1951,0.2975844129993389
JFK→CLT,121,290.3800178629002,55.7940682610245,102.6,1276.6,1948,0.19214155530277247
PHL→ATL,123,255.3883626032235,48.87078251336977,30.69,771.61,1944,0.19135869001711875
